image_id,file_name,relative_path,classification_status,evaluation_state,hazard_density,latency,register_40001_coil,actuation_status
IMG-0097,95.jpg,photos/test/safe/95.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3149,0.67 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0098,96.jpg,photos/test/safe/96.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4492,0.65 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0099,97.jpg,photos/test/safe/97.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6438,1.06 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0100,98.jpg,photos/test/safe/98.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3296,0.85 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0101,99.jpg,photos/test/safe/99.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0913,0.86 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0102,1.jpg,photos/test/unsafe/1.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.9158,0.87 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0103,10.jpg,photos/test/unsafe/10.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0000,1.01 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0104,100.jpg,photos/test/unsafe/100.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7471,0.77 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0105,11.jpg,photos/test/unsafe/11.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0315,0.54 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0106,12.jpg,photos/test/unsafe/12.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2373,1.19 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0107,13.jpg,photos/test/unsafe/13.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4207,0.51 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0108,14.jpg,photos/test/unsafe/14.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5835,0.82 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0109,15.jpg,photos/test/unsafe/15.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3586,0.79 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0110,16.jpg,photos/test/unsafe/16.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0022,0.53 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0111,17.jpg,photos/test/unsafe/17.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2139,0.88 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0112,18.jpg,photos/test/unsafe/18.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0254,0.92 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0113,19.jpg,photos/test/unsafe/19.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1458,0.54 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0114,2.jpg,photos/test/unsafe/2.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0000,0.52 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0115,20.jpg,photos/test/unsafe/20.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2668,0.53 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0116,21.jpg,photos/test/unsafe/21.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.7341,0.55 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0117,22.jpg,photos/test/unsafe/22.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1748,0.53 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0118,23.jpg,photos/test/unsafe/23.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3479,0.82 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0119,24.jpg,photos/test/unsafe/24.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2056,0.64 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0120,25.jpg,photos/test/unsafe/25.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.3064,0.54 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0121,26.jpg,photos/test/unsafe/26.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5291,0.54 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0122,27.jpg,photos/test/unsafe/27.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4922,0.65 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0123,28.jpg,photos/test/unsafe/28.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.4873,0.81 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0124,29.jpg,photos/test/unsafe/29.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2656,0.56 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0125,3.jpg,photos/test/unsafe/3.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1443,0.63 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0126,30.jpg,photos/test/unsafe/30.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2556,0.82 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0127,31.jpg,photos/test/unsafe/31.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6638,0.78 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0128,32.jpg,photos/test/unsafe/32.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1033,0.58 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0129,33.jpg,photos/test/unsafe/33.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0872,0.53 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0130,34.jpg,photos/test/unsafe/34.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0247,0.52 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0131,35.jpg,photos/test/unsafe/35.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.5093,0.60 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0132,36.jpg,photos/test/unsafe/36.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.0427,0.53 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0133,37.jpg,photos/test/unsafe/37.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1785,0.62 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0134,38.jpg,photos/test/unsafe/38.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.1313,0.70 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0135,39.jpg,photos/test/unsafe/39.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.2417,0.59 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
IMG-0136,4.jpg,photos/test/unsafe/4.jpg,HAZARD DETECTED,HAZARD DETECTED (E-STOP ACTIVATED),0.6965,0.55 ms,1,E-STOP TRIGGERED (COIL 40001 = 1)
