CMDLINE python3 scripts/profile_v17_target.py
MEM 35.410156 1789945526.6947
MEM 36.425781 1789945526.7052
MEM 37.503906 1789945526.7158
MEM 38.539062 1789945526.7263
MEM 39.515625 1789945526.7368
MEM 40.632812 1789945526.7472
MEM 43.132812 1789945526.7579
MEM 43.722656 1789945526.7685
MEM 44.351562 1789945526.7791
MEM 44.523438 1789945526.7899
MEM 44.574219 1789945526.8007
MEM 44.972656 1789945526.8120
MEM 45.332031 1789945526.8223
MEM 46.156250 1789945526.8335
MEM 46.472656 1789945526.8439
MEM 49.832031 1789945526.8543
MEM 50.351562 1789945526.8647
MEM 50.730469 1789945526.8752
MEM 51.421875 1789945526.8855
MEM 51.964844 1789945526.8960
MEM 52.769531 1789945526.9064
MEM 53.511719 1789945526.9170
MEM 53.699219 1789945526.9274
MEM 53.699219 1789945526.9378
MEM 53.703125 1789945526.9483
MEM 53.703125 1789945526.9589
MEM 53.703125 1789945526.9694
MEM 53.703125 1789945526.9798
MEM 53.703125 1789945526.9902
MEM 53.703125 1789945527.0013
MEM 53.703125 1789945527.0119
MEM 53.703125 1789945527.0223
MEM 53.707031 1789945527.0328
MEM 53.707031 1789945527.0434
MEM 53.710938 1789945527.0539
MEM 53.714844 1789945527.0644
MEM 53.714844 1789945527.0750
MEM 53.714844 1789945527.0854
MEM 53.714844 1789945527.0959
MEM 53.714844 1789945527.1064
MEM 53.714844 1789945527.1170
MEM 53.714844 1789945527.1275
MEM 53.714844 1789945527.1379
MEM 53.714844 1789945527.1485
MEM 53.714844 1789945527.1590
MEM 53.714844 1789945527.1695
MEM 53.714844 1789945527.1805
MEM 53.714844 1789945527.1911
MEM 53.714844 1789945527.2017
MEM 53.714844 1789945527.2122
MEM 53.714844 1789945527.2227
MEM 53.714844 1789945527.2331
MEM 53.714844 1789945527.2435
MEM 53.714844 1789945527.2540
MEM 53.714844 1789945527.2644
MEM 53.718750 1789945527.2757
MEM 53.718750 1789945527.2863
MEM 53.718750 1789945527.2967
MEM 53.718750 1789945527.3072
MEM 53.718750 1789945527.3176
MEM 53.718750 1789945527.3281
MEM 53.718750 1789945527.3387
MEM 53.718750 1789945527.3506
MEM 53.718750 1789945527.3612
MEM 53.718750 1789945527.3717
MEM 53.718750 1789945527.3822
MEM 53.718750 1789945527.3927
MEM 53.718750 1789945527.4032
MEM 53.718750 1789945527.4137
MEM 53.718750 1789945527.4243
MEM 53.718750 1789945527.4349
MEM 53.718750 1789945527.4453
MEM 53.718750 1789945527.4558
MEM 53.718750 1789945527.4662
MEM 53.718750 1789945527.4767
MEM 53.718750 1789945527.4873
MEM 53.718750 1789945527.4977
MEM 53.718750 1789945527.5081
MEM 53.718750 1789945527.5187
MEM 53.718750 1789945527.5291
MEM 53.718750 1789945527.5396
MEM 53.718750 1789945527.5500
MEM 53.722656 1789945527.5604
MEM 53.722656 1789945527.5711
MEM 53.726562 1789945527.5815
MEM 53.726562 1789945527.5921
MEM 53.734375 1789945527.6027
MEM 53.742188 1789945527.6132
MEM 53.742188 1789945527.6237
MEM 53.824219 1789945527.6341
MEM 54.062500 1789945527.6447
MEM 54.265625 1789945527.6552
MEM 54.777344 1789945527.6657
MEM 55.101562 1789945527.6770
MEM 55.539062 1789945527.6875
MEM 56.234375 1789945527.6981
MEM 56.980469 1789945527.7086
MEM 57.679688 1789945527.7191
MEM 57.953125 1789945527.7297
MEM 58.328125 1789945527.7402
MEM 58.925781 1789945527.7506
MEM 59.488281 1789945527.7610
MEM 59.894531 1789945527.7716
MEM 60.679688 1789945527.7822
MEM 60.906250 1789945527.7928
MEM 61.109375 1789945527.8033
MEM 61.257812 1789945527.8144
MEM 61.433594 1789945527.8250
MEM 61.613281 1789945527.8384
MEM 61.699219 1789945527.8492
MEM 62.035156 1789945527.8597
MEM 62.058594 1789945527.8706
MEM 62.062500 1789945527.8811
MEM 62.089844 1789945527.8943
MEM 62.097656 1789945527.9088
MEM 62.324219 1789945527.9193
MEM 62.480469 1789945527.9303
MEM 62.652344 1789945527.9408
MEM 64.933594 1789945527.9513
MEM 64.960938 1789945527.9619
MEM 64.972656 1789945527.9724
MEM 65.003906 1789945527.9829
MEM 65.617188 1789945527.9934
MEM 65.769531 1789945528.0039
MEM 65.882812 1789945528.0144
MEM 65.972656 1789945528.0250
MEM 66.062500 1789945528.0355
MEM 66.621094 1789945528.0459
MEM 67.382812 1789945528.0564
MEM 67.488281 1789945528.0669
MEM 67.488281 1789945528.0776
MEM 67.488281 1789945528.0879
MEM 67.488281 1789945528.0984
MEM 67.488281 1789945528.1088
MEM 67.488281 1789945528.1192
MEM 67.488281 1789945528.1297
MEM 67.488281 1789945528.1402
MEM 67.488281 1789945528.1507
MEM 67.488281 1789945528.1612
MEM 67.488281 1789945528.1722
MEM 67.488281 1789945528.1826
MEM 67.488281 1789945528.1931
MEM 67.488281 1789945528.2036
MEM 67.488281 1789945528.2140
MEM 67.488281 1789945528.2247
MEM 67.488281 1789945528.2352
MEM 67.488281 1789945528.2457
MEM 67.488281 1789945528.2562
MEM 67.488281 1789945528.2667
MEM 67.488281 1789945528.2772
MEM 67.488281 1789945528.2878
MEM 67.488281 1789945528.2983
MEM 67.488281 1789945528.3088
MEM 67.488281 1789945528.3193
MEM 67.488281 1789945528.3297
MEM 67.488281 1789945528.3401
MEM 67.488281 1789945528.3506
MEM 67.488281 1789945528.3610
MEM 67.488281 1789945528.3715
MEM 67.695312 1789945528.3820
MEM 67.695312 1789945528.3925
MEM 67.699219 1789945528.4032
MEM 67.699219 1789945528.4137
MEM 67.699219 1789945528.4242
MEM 67.699219 1789945528.4358
MEM 67.699219 1789945528.4463
MEM 66.765625 1789945528.4568
MEM 66.781250 1789945528.4674
MEM 66.781250 1789945528.4778
MEM 66.781250 1789945528.4884
MEM 66.781250 1789945528.4993
MEM 66.781250 1789945528.5097
MEM 66.781250 1789945528.5203
MEM 66.781250 1789945528.5308
MEM 66.781250 1789945528.5412
MEM 66.781250 1789945528.5517
MEM 66.781250 1789945528.5622
MEM 66.781250 1789945528.5729
MEM 66.781250 1789945528.5833
MEM 66.781250 1789945528.5937
MEM 66.781250 1789945528.6042
MEM 66.781250 1789945528.6145
MEM 66.781250 1789945528.6254
MEM 66.781250 1789945528.6358
MEM 66.781250 1789945528.6463
MEM 66.781250 1789945528.6568
MEM 66.781250 1789945528.6672
MEM 0.000000 1789945528.6778
MEM 0.000000 1789945528.6882
CMDLINE python3 scripts/profile_v17_target.py
MEM 4.226562 1789945802.6191
MEM 6.816406 1789945802.6295
MEM 8.703125 1789945802.6399
MEM 9.230469 1789945802.6502
MEM 9.269531 1789945802.6605
MEM 9.304688 1789945802.6710
MEM 9.531250 1789945802.6813
MEM 10.480469 1789945802.6916
MEM 11.679688 1789945802.7020
MEM 12.054688 1789945802.7124
MEM 12.324219 1789945802.7228
MEM 12.632812 1789945802.7332
MEM 12.964844 1789945802.7437
MEM 13.347656 1789945802.7541
MEM 13.390625 1789945802.7644
MEM 13.402344 1789945802.7748
MEM 13.410156 1789945802.7851
MEM 13.417969 1789945802.7955
MEM 13.433594 1789945802.8059
MEM 13.433594 1789945802.8164
MEM 13.433594 1789945802.8270
MEM 13.433594 1789945802.8374
MEM 13.445312 1789945802.8477
MEM 13.527344 1789945802.8581
MEM 13.628906 1789945802.8685
MEM 14.570312 1789945802.8789
MEM 15.917969 1789945802.8894
MEM 17.472656 1789945802.8997
MEM 17.726562 1789945802.9103
MEM 17.839844 1789945802.9206
MEM 18.402344 1789945802.9309
MEM 19.812500 1789945802.9413
MEM 20.550781 1789945802.9517
MEM 20.667969 1789945802.9622
MEM 21.554688 1789945802.9725
MEM 22.281250 1789945802.9829
MEM 22.417969 1789945802.9933
MEM 22.511719 1789945803.0037
MEM 22.667969 1789945803.0140
MEM 22.871094 1789945803.0243
MEM 23.390625 1789945803.0347
MEM 23.457031 1789945803.0451
MEM 23.667969 1789945803.0555
MEM 23.722656 1789945803.0660
MEM 24.128906 1789945803.0764
MEM 24.257812 1789945803.0867
MEM 24.417969 1789945803.0970
MEM 24.757812 1789945803.1074
MEM 24.792969 1789945803.1178
MEM 24.910156 1789945803.1282
MEM 25.507812 1789945803.1386
MEM 25.511719 1789945803.1497
MEM 25.535156 1789945803.1601
MEM 25.542969 1789945803.1704
MEM 25.718750 1789945803.1808
MEM 25.753906 1789945803.1912
MEM 25.765625 1789945803.2015
MEM 25.792969 1789945803.2119
MEM 25.953125 1789945803.2222
MEM 25.960938 1789945803.2325
MEM 25.960938 1789945803.2429
MEM 26.000000 1789945803.2532
MEM 26.011719 1789945803.2636
MEM 26.492188 1789945803.2740
MEM 26.832031 1789945803.2843
MEM 26.921875 1789945803.2948
MEM 26.992188 1789945803.3052
MEM 27.132812 1789945803.3155
MEM 27.355469 1789945803.3259
MEM 27.496094 1789945803.3362
MEM 27.609375 1789945803.3465
MEM 27.726562 1789945803.3569
MEM 27.738281 1789945803.3674
MEM 27.738281 1789945803.3778
MEM 27.789062 1789945803.3881
MEM 27.789062 1789945803.3985
MEM 28.027344 1789945803.4088
MEM 28.027344 1789945803.4192
MEM 28.230469 1789945803.4298
MEM 28.230469 1789945803.4402
MEM 28.277344 1789945803.4505
MEM 28.277344 1789945803.4608
MEM 28.281250 1789945803.4711
MEM 28.285156 1789945803.4814
MEM 28.550781 1789945803.4918
MEM 29.730469 1789945803.5021
MEM 30.667969 1789945803.5126
MEM 31.699219 1789945803.5231
MEM 32.769531 1789945803.5335
MEM 33.824219 1789945803.5439
MEM 33.886719 1789945803.5543
MEM 33.886719 1789945803.5646
MEM 33.886719 1789945803.5750
MEM 33.886719 1789945803.5853
MEM 33.886719 1789945803.5957
MEM 33.886719 1789945803.6061
MEM 33.886719 1789945803.6165
MEM 33.886719 1789945803.6270
MEM 33.886719 1789945803.6374
MEM 33.886719 1789945803.6478
MEM 33.886719 1789945803.6582
MEM 33.886719 1789945803.6686
MEM 33.886719 1789945803.6801
MEM 33.886719 1789945803.6906
MEM 33.886719 1789945803.7011
MEM 33.886719 1789945803.7117
MEM 33.886719 1789945803.7223
MEM 33.886719 1789945803.7328
MEM 33.886719 1789945803.7434
MEM 33.886719 1789945803.7540
MEM 33.886719 1789945803.7646
MEM 33.886719 1789945803.7752
MEM 33.886719 1789945803.7857
MEM 33.886719 1789945803.7964
MEM 33.886719 1789945803.8071
MEM 33.886719 1789945803.8177
MEM 33.886719 1789945803.8281
MEM 33.886719 1789945803.8387
MEM 33.886719 1789945803.8494
MEM 33.945312 1789945803.8600
MEM 34.066406 1789945803.8706
MEM 35.035156 1789945803.8812
MEM 35.933594 1789945803.8917
MEM 36.710938 1789945803.9022
MEM 37.707031 1789945803.9128
MEM 38.261719 1789945803.9233
MEM 39.250000 1789945803.9338
MEM 40.769531 1789945803.9443
MEM 42.863281 1789945803.9548
MEM 43.695312 1789945803.9653
MEM 44.320312 1789945803.9757
MEM 44.640625 1789945803.9860
MEM 45.050781 1789945803.9963
MEM 45.058594 1789945804.0068
MEM 45.464844 1789945804.0172
MEM 46.273438 1789945804.0276
MEM 46.464844 1789945804.0380
MEM 49.234375 1789945804.0488
MEM 50.234375 1789945804.0592
MEM 50.714844 1789945804.0697
MEM 51.652344 1789945804.0800
MEM 52.414062 1789945804.0903
MEM 53.386719 1789945804.1007
MEM 53.832031 1789945804.1111
MEM 53.835938 1789945804.1214
MEM 53.835938 1789945804.1318
MEM 53.835938 1789945804.1422
MEM 53.835938 1789945804.1525
MEM 53.835938 1789945804.1629
MEM 53.835938 1789945804.1733
MEM 53.835938 1789945804.1838
MEM 53.839844 1789945804.1942
MEM 53.843750 1789945804.2046
MEM 53.847656 1789945804.2171
MEM 53.847656 1789945804.2275
MEM 53.847656 1789945804.2379
MEM 53.847656 1789945804.2485
MEM 53.847656 1789945804.2589
MEM 53.847656 1789945804.2694
MEM 53.847656 1789945804.2798
MEM 53.847656 1789945804.2902
MEM 53.847656 1789945804.3007
MEM 53.847656 1789945804.3111
MEM 53.847656 1789945804.3215
MEM 53.847656 1789945804.3320
MEM 53.847656 1789945804.3424
MEM 53.847656 1789945804.3527
MEM 53.851562 1789945804.3631
MEM 53.851562 1789945804.3736
MEM 53.851562 1789945804.3841
MEM 53.851562 1789945804.3944
MEM 53.851562 1789945804.4048
MEM 53.851562 1789945804.4153
MEM 53.851562 1789945804.4257
MEM 53.851562 1789945804.4361
MEM 53.851562 1789945804.4464
MEM 53.851562 1789945804.4568
MEM 53.851562 1789945804.4672
MEM 53.851562 1789945804.4775
MEM 53.851562 1789945804.4879
MEM 53.851562 1789945804.4983
MEM 53.851562 1789945804.5087
MEM 53.855469 1789945804.5191
MEM 53.863281 1789945804.5294
MEM 53.867188 1789945804.5397
MEM 53.875000 1789945804.5501
MEM 54.273438 1789945804.5605
MEM 55.082031 1789945804.5709
MEM 55.925781 1789945804.5813
MEM 57.035156 1789945804.5917
MEM 58.128906 1789945804.6021
MEM 59.273438 1789945804.6125
MEM 60.132812 1789945804.6229
MEM 61.128906 1789945804.6333
MEM 61.625000 1789945804.6437
MEM 62.136719 1789945804.6541
MEM 62.183594 1789945804.6644
MEM 62.570312 1789945804.6749
MEM 62.894531 1789945804.6854
MEM 65.171875 1789945804.6958
MEM 65.351562 1789945804.7062
MEM 66.011719 1789945804.7167
MEM 66.207031 1789945804.7272
MEM 66.292969 1789945804.7378
MEM 67.253906 1789945804.7499
MEM 67.589844 1789945804.7604
MEM 67.679688 1789945804.7710
MEM 67.703125 1789945804.7814
MEM 67.710938 1789945804.7918
MEM 67.710938 1789945804.8022
MEM 67.710938 1789945804.8126
MEM 67.710938 1789945804.8231
MEM 67.710938 1789945804.8336
MEM 67.710938 1789945804.8440
MEM 67.710938 1789945804.8544
MEM 67.710938 1789945804.8647
MEM 67.710938 1789945804.8750
MEM 67.710938 1789945804.8856
MEM 67.710938 1789945804.8961
MEM 67.710938 1789945804.9066
MEM 67.710938 1789945804.9171
MEM 67.710938 1789945804.9275
MEM 67.710938 1789945804.9378
MEM 67.710938 1789945804.9481
MEM 67.710938 1789945804.9585
MEM 67.710938 1789945804.9690
MEM 67.710938 1789945804.9792
MEM 67.710938 1789945804.9895
MEM 67.710938 1789945804.9997
MEM 67.710938 1789945805.0100
MEM 67.710938 1789945805.0204
MEM 67.710938 1789945805.0306
MEM 67.710938 1789945805.0409
MEM 67.710938 1789945805.0515
MEM 67.710938 1789945805.0618
MEM 67.710938 1789945805.0721
MEM 67.710938 1789945805.0824
MEM 67.789062 1789945805.0929
MEM 67.792969 1789945805.1033
MEM 67.792969 1789945805.1137
MEM 67.792969 1789945805.1241
MEM 67.792969 1789945805.1346
MEM 66.875000 1789945805.1450
MEM 66.875000 1789945805.1553
MEM 66.875000 1789945805.1657
MEM 66.875000 1789945805.1762
MEM 66.875000 1789945805.1866
MEM 66.875000 1789945805.1970
MEM 66.875000 1789945805.2074
MEM 66.875000 1789945805.2179
MEM 66.875000 1789945805.2283
MEM 66.875000 1789945805.2387
MEM 66.875000 1789945805.2492
MEM 66.875000 1789945805.2596
MEM 66.875000 1789945805.2700
MEM 66.875000 1789945805.2816
MEM 66.875000 1789945805.2919
MEM 66.875000 1789945805.3023
MEM 66.875000 1789945805.3128
MEM 66.875000 1789945805.3232
MEM 66.875000 1789945805.3336
MEM 66.875000 1789945805.3440
MEM 66.875000 1789945805.3545
MEM 0.000000 1789945805.3648
